Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
garP	b3127	947642	P0AA80	yhaU,JW3096	galactarate / glucarate / glycerate transporter GarP	Basal machinery
garR	b3125	947631	P0ABQ2	JW5526,yhaE	tartronate semialdehyde reductase	Basal machinery
gatA	b2094	946633	P69828	JW2078/JW2081	galactitol PTS permease - GatA subunit	Basal machinery
gatB	b2093	946610	P37188	JW2077	galactitol PTS permease - GatB subunit	Basal machinery
gatC	b2092	946603	P69831	JW2076	galactitol PTS permease - GatC subunit	Basal machinery
gatD	b2091	946598	P0A9S3	JW2075	galactitol-1-phosphate dehydrogenase	Basal machinery
gatY	b2096	946636	P0C8J6	yegF,JW5343	GatY	Basal machinery
gatZ	b2095	946641	P0C8J8	JW2082		Basal machinery
gcd	b0124	944830	P15877	JW0120	quinoprotein glucose dehydrogenase	Basal machinery
gcl	b0507	945394	P0AEP7	JW0495	glyoxylate carboligase	64
gcvA	b2808	947278	P0A9F6	JW2779	GcvA DNA-binding transcriptional dual regulator	68
gcvH	b2904	947393	P0A6T9	JW2872	glycine cleavage system H protein	68
gcvP	b2903	947394	P33195	JW2871	glycine decarboxylase	68
gcvR	b2479	946950	P0A9I3	JW2464,yffD	GcvR predicted transcriptional regulator	Basal machinery
gcvT	b2905	947390	P27248	JW2873	aminomethyltransferase	68
gdhA	b1761	946802	P00370	JW1750	GdhA	29
gfcA	b0987	945029	P75885	ymcD,JW5133	predicted protein	8.1
glcA	b2975	947259	Q46839	yghK,JW2942	glycolate / lactate:H<sup>+</sup> symporter	Intermodular
glcB	b2976	948857	P37330	glc,JW2943	malate synthase G	Intermodular
glcC	b2980	947466	P0ACL5	yghN,JW2947	GlcC transcriptional dual regulator	8.33
glcD	b2979	947353	P0AEP9	gox,JW2946,yghM	glycolate oxidase, predicted FAD-linked subunit	Intermodular
glcE	b4468	2847718	P52073	gox,yghL,JW5487	glycolate oxidase, predicted FAD-binding subunit	Intermodular
glcF	b4467	2847717	P52074	yghL,gox,JW5486	glycolate oxidase, predicted iron-sulfur subunit	Intermodular
glcG	b2977	947473	P0AEQ1	yghC,JW2944	conserved protein	Intermodular
glgA	b3429	947932	P0A6U8	JW3392	glycogen synthase	Basal machinery
glgB	b3432	947940	P07762	JW3395	1,4-&alpha;-glucan branching enzyme	Basal machinery
glgC	b3430	947942	P0A6V1	JW3393	GlgC	Basal machinery
glgP	b3428	947931	P0AC86	JW3391,glgY	GlgP	Basal machinery
glgS	b3049	947533	P26649	JW3021	surface composition regulator	Basal machinery
glgX	b3431	947941	P15067	glyX,JW3394	glycogen phosphorylase-limit dextrin &alpha;-1,6-glucohydrolase	Basal machinery
glk	b2388	946858	P0A6V8	JW2385	glucokinase/glucokinase	Basal machinery
glmS	b3729	948241	P17169	JW3707	GlmS	8.7
glmU	b3730	948246	P0ACC7	yieA,JW3708	GlmU	8.7
glnA	b3870	948370	P0A9C5	JW3841	GlnA	8.31
glnB	b2553	947016	P0A9Z1	JW2537	PII	Basal machinery
glnG	b3868	948361	P0AFB8	JW3839,ntrC,glnT	NtrC transcriptional dual regulator	8.31
glnH	b0811	944872	P0AEQ3	JW0796	glutamine ABC transporter - periplasmic binding protein	8.31
glnL	b3869	948360	P0AFB5	glnR,ntrB,JW3840	NtrB	8.31
glnP	b0810	945621	P0AEQ6	JW0795	glutamine ABC transporter - membrane subunit	8.31
glnQ	b0809	945435	P10346	JW0794	glutamine ABC transporter - ATP binding subunit	8.31
glnS	b0680	945310	P00962	JW0666	glutaminyl-tRNA synthetase	Basal machinery
gloA	b1651	946161	P0AC81	JW1643	glyoxalase I	8.1
glpA	b2241	946713	P0A9C0	JW2235	anaerobic glycerol-3-phosphate dehydrogenase subunit A	9
glpB	b2242	946733	P13033	JW2236	anaerobic glycerol-3-phosphate dehydrogenase subunit B	9
glpC	b2243	946735	P0A996	JW2237	anaerobic glycerol-3-phosphate dehydrogenase subunit C	9
glpD	b3426	947934	P13035	JW3389,glyD	GlpD	9
glpE	b3425	947935	P0A6V5	JW3388		Basal machinery
glpF	b3927	948422	P0AER0	JW3898	GlpF	9
glpG	b3424	947936	P09391	JW5687	intramembrane serine protease GlpG	Basal machinery
glpK	b3926	948423	P0A6F3	JW3897	GlpK	9
glpQ	b2239	946725	P09394	JW2233	GlpQ	9
glpR	b3423	947926	P0ACL0	JW3386	GlpR DNA-binding transcriptional repressor	9
glpT	b2240	946704	P08194	JW2234	glycerol-3-phosphate:phosphate antiporter	9
glpX	b3925	948424	P0A9C9	JW3896	fructose 1,6-bisphosphatase II	9
glrK	b2556	947013	P52101	yfhK,JW5407	GlrK sensory histidine kinase	Basal machinery
glrR	b2554	947042	P0AFU4	yfhA,JW2538	GlrR DNA-binding transcriptional activator	8.23
gltA	b0720	945323	P0ABH7	icdB,JW0710,gluT	citrate synthase monomer	Basal machinery
gltB	b3212	947724	P09831	aspB,JW3179	glutamate synthase, large subunit	Intermodular
gltD	b3213	947723	P09832	aspB,JW3180	glutamate synthase, small subunit	Intermodular
gltF	b3214	947746	P28721	JW3181	periplasmic protein	Intermodular
gltI	b0655	946938	P37902	ybeJ,yzzK,JW5092	glutamate / aspartate ABC transporter - periplasmic binding protein	8.1
gltJ	b0654	945443	P0AER3	JW0649	glutamate / aspartate ABC transporter - membrane subunit	8.1
gltK	b0653	947354	P0AER5	JW0648	glutamate / aspartate ABC transporter - membrane subunit	8.1
gltL	b0652	945254	P0AAG3	JW0647	glutamate / aspartate ABC transporter - ATP binding subunit	8.1
gltX	b2400	946906	P04805	JW2395	glutamyl-tRNA synthetase	Basal machinery
gluQ	b0144	944846	P27305	yadB,JW5892	glutamyl-Q tRNA<sup>Asp</sup> synthetase	Basal machinery
glxK	b0514	945129	P77364	JW0502,ybbZ,glxB5	glycerate kinase II	64
glxR	b0509	945146	P77161	ybbQ,glxB1,JW0497	tartronate semialdehyde reductase 2	64
glyA	b2551	947022	P0A825	JW2535	serine hydroxymethyltransferase	Intermodular
gnd	b2029	946554	P00350	JW2011	Gnd	Basal machinery
gntK	b3437	947937	P46859	JW3400	GntK	8.20
gntP	b4321	948848	P0AC94	JW4284,yjiB	gluconate / fructuronate  transporter GntP	73
gntR	b3438	947946	P0ACP5	JW5946	GntR DNA-binding transcriptional repressor	8.20
gntT	b3415	947924	P39835	usgA,JW5690,yhgC,gntM	gluconate transporter GntT	8.20
gntU	b4476	2847760	P0AC96	JW5686	gluconate transporter GntU	8.20
gph	b3385	947895	P32662	yhfE,JW3348	phosphoglycolate phosphatase	Basal machinery
gpmA	b0755	945068	P62707	pgm,JW0738,gpm,pgmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase monomer	Basal machinery
gpmI	b3612			yibO,JW3587,gpmM,pgmI		Basal machinery
gpsA	b3608	948125	P0A6S7	JW3583	glycerol-3-phosphate dehydrogenase	Basal machinery
grcA	b2579	947068	P68066	yfiD,JW2563	stress-induced alternate pyruvate formate-lyase subunit	Basal machinery
greA	b3181	947696	P0A6W5	JW3148	transcription elongation factor GreA	Basal machinery
groL	b4143	948665	P0A6F5	mopA,JW4103,groEL	GroEL chaperonin	Basal machinery
groS	b4142	948655	P0A6F9	JW4102,mopB,groES	GroES cochaperonin	Basal machinery
grpE	b2614	947097	P09372	JW2594	nucleotide exchange factor GrpE	Basal machinery
grxA	b0849	945479	P68688	grx,JW0833	reduced glutaredoxin 1	8.18
grxC	b3610	948132	P0AC62	JW3585,yibM	reduced glutaredoxin 3	Basal machinery
gspA	b3323	947825	P45756	yheD,JW3285	general secretory pathway component, cryptic	Basal machinery
gspB	b3322	947826	P03825	pinO,pno,JW3284,pioO	calcium-binding protein required for initiation of chromosome replication	Basal machinery
gspC	b3324	947824	P45757	yheE,JW3286	putative protein secretion protein for export	Basal machinery
gspD	b3325	947822	P45758	JW5707,yheF	putative protein secretion protein for export	Basal machinery
gspE	b3326	947823	P45759	yheG,JW3288	putative protein secretion protein for export	Basal machinery
gspF	b3327	947829	P41441	JW3289,hofF,hopF	putative protein secretion protein for export	Basal machinery
gspG	b3328	947827	P41442	hofG,hopG,JW3290	putative protein secretion protein for export	Basal machinery
gspH	b3329	947834	P41443	hofH,JW3291,hopH	putative protein secretion protein for export	Basal machinery
gspI	b3330	947833	P45760	JW5706,yheH	putative protein secretion protein for export	Basal machinery
gspJ	b3331	947832	P45761	yheI,JW3293	putative protein secretion protein for export	Basal machinery
gspK	b3332	947831	P45762	yheJ,JW3294	putative protein secretion protein for export	Basal machinery
gspL	b3333	947842	P45763	yheK,JW5705	putative protein secretion protein for export	Basal machinery
gspM	b3334	947841	P36678	pshM,JW5704,hopZ	putative protein secretion protein	Basal machinery
gspO	b3335	947840	P25960	hofD,yheC,hopO,hopD,JW3297	leader peptidase, integral membrane protein	Basal machinery
guaA	b2507	947334	P04079	JW2491	GMP synthetase	29
guaB	b2508	946985	P0ADG7	JW5401,guaR	GuaB	29
gutM	b2706		P15081	srlM,JW2675	GutM DNA-binding transcriptional activator	Basal machinery
gutQ	b2708		P17115	srlQ,JW5431	D-arabinose 5-phosphate isomerase	Basal machinery
gyrA	b2231	946614	P0AES4	nalA,JW2225,parD,hisW	DNA gyrase, subunit A	Basal machinery
gyrB	b3699	948211	P0AES6	himB,acrB,JW5625,hisU,pcbA,nalC,parA	DNA gyrase, subunit B	Basal machinery
hcaB	b2541	945346	P0CI31	JW2525,yfhX,phdD	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase	37
hcaC	b2540	947015	P0ABW0	phdB,hcaA3,yfhW,JW2524	3-phenylpropionate dioxygenase, predicted ferredoxin subunit	37
hcaD	b2542	945427	P77650	phdA,hcaA4,JW2526,yfhY	3-phenylpropionate dioxygenase, predicted ferredoxin reductase subunit	37
hcaE	b2538	946998	P0ABR5	digA,JW2522,hcaA,phdC1,yfhU,hcaA1	3-phenylpropionate dioxygenase, &alpha; subunit	37
hcaF	b2539	946997	Q47140	hcaB,yfhV,JW2523,digB,phdC2,hcaA2	3-phenylpropionate dioxygenase, &beta; subunit	37
hcaR	b2537	947000	Q47141	yfhT,JW2521,phdR	HcaR transcriptional dual regulator	37
hchA	b1967	946481	P31658	yzzC,yedU,JW1950	glyoxalase III, Hsp31 molecular chaperone	Basal machinery
hcp	b0873	946592	P75825	ybjW,JW0857	hybrid-cluster protein	Intermodular
hcr	b0872	947660	P75824	JW5117,ybjV	NADH oxidoreductase	Intermodular
hdeA	b3510	948025	P0AES9	yhiB,yhhC,JW3478	acid-resistance protein, possible chaperone	Intermodular
hdeB	b3509	948026	P0AET2	JW5669,yhhD,yhiC	acid stress chaperone	Intermodular
hdeD	b3511	948024	P0AET5	JW3479,yhiA	acid-resistance membrane protein	8.1
hdfR	b4480	2847698	P0A8R9	pssR,JW5607,yifA,yifD	HdfR DNA-binding transcriptional dual regulator	8.1
hemA	b1210	945777	P0A6X1	JW1201		Basal machinery
hemF	b2436	946908	P36553	JW2429	coproporphyrinogen III oxidase	Basal machinery
hemH	b0475	947532	P23871	visA,popA,JW0464	ferrochelatase	8.18
hemL	b0154	946892	P23893	popC,gsa,JW0150	glutamate-1-semialdehyde aminotransferase	8.1
hemN	b3867	948362	P32131	yihJ,JW3838	coproporphyrinogen III dehydrogenase	Basal machinery
hflC	b4175	948697	P0ABC3	JW4133,hflA	regulator of FtsH protease	Basal machinery
hflD	b1132	945693	P25746	ycfC,JW5165	lysogenization regulator	8.10
hflK	b4174	948698	P0ABC7	hflA,JW4132	regulator of FtsH protease	Basal machinery
hflX	b4173	948688	P25519	JW4131	GTPase associated with the 50S subunit of the ribosome	Basal machinery
hfq	b4172	948689	P0A6X3	JW4130	RNA-binding protein that affects many cellular processes; homolog of mammalian Sm/Sm-like proteins	Basal machinery
hha	b0460	945098	P0ACE3	JW0449	haemolysin expression modulating protein	8.1
hicA	b4532	945989	P76106	JW5230,yncN	toxin of the HicA-HicB toxin-antitoxin system	Basal machinery
hicB	b1438	946001	P67697	ydcQ,JW1433	antitoxin of the HicA-HicB toxin-antitoxin system	Basal machinery
higA	b3082	947593	P67701	ygjM,JW3053	antitoxin of the HigB-HigA toxin-antitoxin system	65
higB	b3083	947591	P64578	JW3054,ygjN	translation-dependent mRNA interferase, toxin of the HigB-HigA toxin-antitoxin system	65
hipA	b1507	946064	P23874	JW1500	serine/threonine kinase HipA	8.3
hipB	b1508	946065	P23873	JW1501	HipB	8.3
hisA	b2024	946521	P10371	JW2006	N-(5'-phospho-L-ribosyl-formimino)-5-amino-1-(5'-phosphoribosyl)-4-imidazolecarboxamide isomerase	Basal machinery
hisB	b2022	946552	P06987	JW2004		Basal machinery
hisF	b2025	946516	P60664	JW2007	imidazole glycerol phosphate synthase, HisF subunit	Basal machinery
hisH	b2023	946544	P60595	JW2005	imidazole glycerol phosphate synthase, HisH subunit	Basal machinery
hisI	b2026	946515	P06989	JW2008,hisIE	phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase	Basal machinery
hisJ	b2309	945309	P0AEU0	JW2306	histidine ABC transporter - periplasmic binding protein	8.19
hisM	b2307	946790	P0AEU3	JW2304	lysine/arginine/ornithine ABC transporter / histidine ABC transporter - membrane subunit	8.19
hisP	b2306	946789	P07109	JW2303	lysine / arginine / ornithine ABC transporter / histidine ABC transporter - ATP binding subunit	8.19
hisQ	b2308	947235	P52094	JW2305	lysine / arginine / ornithine ABC transporter / histidine ABC transporter - membrane subunit	8.19
hisS	b2514	946989	P60906	JW2498	histidyl-tRNA synthetase	Basal machinery
hldD	b3619	948134		htrM,JW3594,rfaD,waaD		Basal machinery
hlyE	b1182	945745	P77335	ycgD,clyA,JW5181,hpr,sheA	hemolysin E	48
hmp	b2552	947018	P24232	JW2536,fsrB,hmpA	nitric oxide dioxygenase	8.6
hns	b1237	945829	P0ACF8	bglY,pilG,hnsA,osmZ,cur,drdX,JW1225,topS,msyA	H-NS DNA-binding transcriptional dual regulator	Global regulator
hofB	b0107	947481	P36645	JW0103,hopB	protein involved in plasmid replication	Basal machinery
hofC	b0106	945806	P36646	JW0102,yacD,hopC	protein transport protein HofC	Basal machinery
hofM	b3395	947908	P45753	yrfD,JW5693	protein involved in utilization of DNA as a carbon source	Basal machinery
hofN	b3394	947898	P64634	JW3357,yrfC	protein involved in utilization of DNA as a carbon source	Basal machinery
hofO	b3393	947899	P45751	yrfB,JW3356	protein involved in utilization of DNA as a carbon source	Basal machinery
hofP	b3392	947900	P45750	yrfA,JW5694	protein involved in utilization of DNA as a carbon source	Basal machinery
hokD	b1562	948616	P0ACG6	relF,JW1554	Qin prophage; small toxic polypeptide	3
holC	b4259	948787	P28905	JW4216	DNA polymerase III, &chi; subunit	Basal machinery
hpf	b3203	947718	P0AFX0	JW3170,yhbH	hibernation promoting factor	Basal machinery
hpt	b0125	946624	P0A9M2	JW5009	hypoxanthine-guanine phosphoribosyltransferase	Basal machinery
hrsA	b0731			JW0720,mngA		34
hscA	b2526	944885	P0A6Z1	hsc,JW2510	chaperone for [Fe-S] cluster biosynthesis	Basal machinery
hscB	b2527	946995	P0A6L9	yfhE,JW2511	co-chaperone for [Fe-S] cluster biosynthesis	Basal machinery
hslJ	b1379	946525	P52644	JW1374,ydbI	heat shock protein HslJ	19
hslO	b3401	947178	P0A6Y5	yrfI,JW5692	molecular chaperone Hsp33	Basal machinery
hslR	b3400	947912	P0ACG8	yrfH,JW3363	heat shock protein Hsp15 involved in ribosome recycling	Basal machinery
hslU	b3931	948430	P0A6H5	JW3902,htpI	ATPase component of the HslVU protease	Basal machinery
hslV	b3932	948429	P0A7B8	JW3903,yiiC,htpO	peptidase component of the HslVU protease	Basal machinery
hspQ	b0966	945578	P0AB20	yccV,JW5970	heat shock protein, hemimethylated DNA-binding protein	Basal machinery
htgA	b0012		P28697	htpY,JW5001	predicted DNA-binding transcriptional regulator	Basal machinery
htpG	b0473	945099	P0A6Z3	JW0462	HtpG monomer	44
htpX	b1829	946076	P23894	JW1818	heat shock protein, integral membrane protein	Basal machinery
htrE	b0139	944819	P33129	JW0135	putative outer membrane usher protein	Basal machinery
hupA	b4000	948499	P0ACF0	JW3964	transcriptional dual regulator HU-&alpha; (HU-2)	8.4
hupB	b0440	949095	P0ACF4	JW0430,hopD	transcriptional dual regulator HU-&beta;, NS1 (HU-1)	8.4
hyaA	b0972	945579	P69739	JW0954	hydrogenase 1, small subunit	Intermodular
hyaB	b0973	945580	P0ACD8	JW0955	hydrogenase 1, large subunit	Intermodular
hyaC	b0974	945581	P0AAM1	JW0956	hydrogenase 1, b-type cytochrome subunit	Intermodular
hyaD	b0975	945575	P19930	JW0957	protein involved in processing of HyaA and HyaB proteins	Intermodular
hyaE	b0976	945573	P19931	JW0958	protein involved in quality control of HyaA	Intermodular
hyaF	b0977	945572	P19932	JW0959	protein involved in nickel incorporation into hydrogenase 1 proteins	Intermodular
hybA	b2996	944842	P0AAJ8	JW2964	hydrogenase 2 4Fe-4S ferredoxin-type component	Basal machinery
hybB	b2995	948615	P37180	JW5494	predicted hydrogenase 2 cytochrome b type component	Basal machinery
hybC	b2994	945182	P0ACE0	JW2962	hydrogenase 2, large subunit	Basal machinery
hybD	b2993	948982	P37182	JW2961	predicted maturation peptidase for hydrogenase 2	Basal machinery
hybE	b2992	947483	P0AAN1	JW2960	hydrogenase 2-specific chaperone	Basal machinery
hybF	b2991	948004	P0A703	JW5493	protein involved with the maturation of hydrogenases 1 and 2	Basal machinery
hybG	b2990	948020	P0AAM7	JW2958	hydrogenase 2 accessory protein	Basal machinery
hybO	b2997	945902	P69741	JW2965,yghV	hydrogenase 2, small subunit	Basal machinery
hycA	b2725	947193	P0AEV4	JW2695,hevA	regulator of the transcriptional regulator FhlA	Intermodular
hycB	b2724	948002	P0AAK1	hevB,JW2694	hydrogenase 3, Fe-S subunit	Intermodular
hycC	b2723	945327	P16429	hevC,JW2693	hydrogenase 3, membrane subunit	Intermodular
hycD	b2722	948994	P16430	JW2692,hevD	hydrogenase 3, membrane subunit	Intermodular
hycE	b2721	947396	P16431	hevE,JW2691	hydrogenase 3, large subunit	Intermodular
hycF	b2720	947048	P16432	JW2690,hevF	formate hydrogenlyase complex iron-sulfur protein	Intermodular
hycG	b2719	947191	P16433	hevG,JW2689	hydrogenase 3 and formate hydrogenlyase complex, HycG subunit	Intermodular
hycH	b2718	947438	P0AEV7	hevH,JW2688	protein required for maturation of hydrogenase 3	Intermodular
hycI	b2717	947428	P0AEV9	JW2687	hydrogenase 3 maturation protease	Intermodular
hydN	b2713	947190	P0AAK4	JW2683	putative electron transport protein HydN	8.21
hyfA	b2481	946959	P23481	yffE,JW2466	hydrogenase 4, component A	Basal machinery
hyfB	b2482	946961	P23482	JW2467,yffF	hydrogenase 4, component B	Basal machinery
hyfC	b2483	947492	P77858	JW2468	hydrogenase 4, component C	Basal machinery
hyfD	b2484	947290	P77416	JW2469	hydrogenase 4, component D	Basal machinery
hyfE	b2485	945298	P0AEW1	JW2470	hydrogenase 4, component E	Basal machinery
hyfF	b2486	946962	P77437	JW2471	hydrogenase 4, component F	Basal machinery
hyfG	b2487	946964	P77329	JW2472	hydrogenase 4, large subunit	Basal machinery
hyfH	b2488	946965	P77423	JW2473	hydrogenase 4, component H	Basal machinery
hyfI	b2489	946966	P77668	JW5805	hydrogenase 4, small subunit	Basal machinery
hyfJ	b2490	947713	P77453	JW2475	hydrogenase 4 component J, putative protein processing element	Basal machinery
hyfR	b2491	948886	P71229	JW2476	HyfR DNA-binding transcriptional activator	Basal machinery
hyi	b0508	946186	P30147	ybbG,JW0496,gip		64
hypA	b2726	947195	P0A700	JW2696	accessory protein for nickel incorporation into hydrogenase 3	8.21
hypB	b2727	947194	P0AAN3	JW2697	accessory protein for nickel incorporation into hydrogenase isoenzymes	8.21
hypC	b2728	947192	P0AAM3	JW2698	HypC, protein involved in hydrogenase 3 maturation	8.21
hypD	b2729	947189	P24192	JW2699	HypD, scaffold protein for assembly of the Fe-(CN)<sub>2</sub>CO cofactor	8.21
hypE	b2730	947182	P24193	JW2700	hydrogenase maturation protein, carbamoyl dehydratase	8.21
hypF	b2712	944963	P30131	hydA,JW5433	hydrogenase maturation protein, carbamoyltransferase	Intermodular
hypT	b4327	948852	P39376	JW4290,qseD,yjiE	HypT transcriptional dual regulator	8.12
ibaG	b3190	947958	P0A9W6	yrbA,JW3157	predicted DNA-binding transcriptional regulator	8.1
ibpA	b3687	948200	P0C054	htpN,hslT,JW3664	small heat shock protein IbpA	Basal machinery
ibpB	b3686	948192	P0C058	htpE,JW3663,hslS	small heat shock protein IbpB	Basal machinery
icd	b1136	945702	P08200	icdA,icdE,JW1122	Icd	8.1
iclR	b4018	948524	P16528	JW3978	IclR transcriptional repressor	8.5
idnK	b4268	946066	P39208	JW4225,gntV	D-gluconate kinase, thermosensitive	Basal machinery
ihfA	b1712	945472	P0A6X7	JW1702,hid,himA	integration host factor (IHF), &alpha; subunit	Basal machinery
ihfB	b0912	945533	P0A6Y1	hip,himD,JW0895	integration host factor (IHF), &beta; subunit	Basal machinery
ileS	b0026	944761	P00956	JW0024,ilvS	isoleucyl-tRNA synthetase	Basal machinery
ilvA	b3772	948287	P04968	JW3745	IlvA	Basal machinery
ilvB	b3671	948182	P08142	JW3646	acetohydroxy acid synthase I, large subunit	Basal machinery
ilvC	b3774	948286	P05793	JW3747		31
ilvD	b3771	948277	P05791	JW5605	IlvD	Basal machinery
ilvE	b3770	948278	P0AB80	JW5606	IlvE	Basal machinery
ilvG_1					acetolactate synthase II, large subunit, N-ter fragment (pseudogene)	Basal machinery
ilvG_2					acetolactate synthase II, large subunit, C-ter fragment (pseudogene)	Basal machinery
ilvH	b0078	947267	P00894	JW0077,brnP	IlvH	Basal machinery
ilvI	b0077	948793	P00893	JW0076	IlvI	Basal machinery
ilvL	b3766	948283	P62522	JW3739	ilvGEDA operon leader peptide	Basal machinery
ilvM	b3769	948279	P0ADG1	JW3742	IlvM	Basal machinery
ilvN	b3670	948183	P0ADF8	JW3645	acetohydroxy acid synthase I, small subunit	Basal machinery
ilvX	b4669	7751639	C1P619	JW3740.1	small protein	Basal machinery
ilvY	b3773	948284	P05827	JW3746	IlvY DNA-binding transcriptional dual regulator	31
inaA	b2237	946731	P27294	yfaG,JW2231	pH-inducible protein involved in stress response	8.2
infA	b0884	945500	P69222	JW0867	protein chain initiation factor IF-1	Basal machinery
infB	b3168	947684	P0A705	JW3137,ssyG	protein chain initiation factor IF2	8.19
infC	b1718	946225	P0A707	fit,JW5829	protein chain initiation factor IF-3	Basal machinery
insC5	b3044			JW3012,insC-5		Basal machinery
insCD-5					IS2 element transposase InsAB'	Basal machinery
insD5	b3045			JW3013,insD-5		Basal machinery
insI1	b0256	945968		JW0246,insI-1		Basal machinery
insN1	b0255			JW5024,insN-1		Basal machinery
insO1	b0257			JW0247,insO-1		Basal machinery
intS	b2349	946821	P37326	intC,JW2345,yfdB	CPS-53 (KpLE1) prophage; prophage CPS-53 integrase	Basal machinery
iraD	b4326	948851	P39375	yjiD,JW5782	inhibitor of &sigma;<sup>S</sup> proteolysis	Basal machinery
iraM	b1160	945729	P75987	elbA,elb1,JW1147,ycgW	inhibitor of &sigma;<sup>S</sup> proteolysis	8.1
iraP	b0382	947709	P0AAN9	yaiB,JW0373	anti-adaptor protein for &sigma;<sup>S</sup> stabilization	Basal machinery
iscA	b2528	946999	P0AAC8	JW2512,yfhF	iron-sulfur cluster assembly protein	8.22
iscR	b2531	945279	P0AGK8	yfhP,JW2515	IscR DNA-binding transcriptional dual regulator	8.22
iscS	b2530	947004	P0A6B7	yzzO,nuvC,yfhO,JW2514	cysteine desulfurase monomer	8.22
iscU	b2529	947002	P0ACD4	yfhN,nifU,JW2513	scaffold protein for iron-sulfur cluster assembly	8.22
iscX	b2524	945196	P0C0L9	JW2508,yfhJ	regulator of iron-sulfur cluster assembly	Basal machinery
ispH	b0029	944777	P62623	JW0027,lytB,yaaE	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	Basal machinery
istR-1					Istr-1	Basal machinery
ivbL	b3672	948181	P03061	JW3647	ilvB operon leader peptide	Basal machinery
katE	b1732	946234	P21179	JW1721	catalase II	Basal machinery
katG	b3942	948431	P13029	JW3914	hydroperoxidase I	8.18
kbaY	b3137	947644	P0AB74	agaY,kba,JW3106,yraC	KbaY	46
kbaZ	b3132	947637	P0C8K0	JW3101,agaZ,yhaX		46
kbl	b3617	948138	P0AB77	JW3592	Kbl	Basal machinery
kbp						Basal machinery
kdgR	b1827	946129	P76268	yebP,JW1816	KdgR DNA-binding transcriptional repressor	8.32
kdpA	b0698	946045	P03959	JW0686	K<sup>+</sup> transporting ATPase - K<sup>+</sup> channel forming subunit	4
kdpB	b0697	947450	P03960	JW0685	K<sup>+</sup> transporting ATPase - ATP binding subunit	4
kdpC	b0696	947508	P03961	JW0684	K<sup>+</sup> transporting ATPase - KdpC subunit	4
kdpE	b0694	945302	P21866	JW5096	KdpE transcriptional activator	4
kdpF	b4513	948946	P36937	JW0687	K<sup>+</sup> transporting ATPase - KdpF subunit	4
kdsA	b1215	945785	P0A715	JW1206	3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase	Basal machinery
kdsB	b0918	945539	P04951	JW0901	3-deoxy-D-<i>manno</i>-octulosonate cytidylyltransferase	Basal machinery
kdsC	b3198	947717	P0ABZ4	JW3165,yrbJ,yrbI	3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate phosphatase monomer	Basal machinery
kdsD	b3197	947734	P45395	yrbH,JW3164	D-arabinose 5-phosphate isomerase	Basal machinery
lacA	b0342	945674	P07464	JW0333	galactoside O-acetyltransferase monomer	54
lacI	b0345	945007	P03023	JW0336	LacI DNA-binding transcriptional repressor	54
lacY	b0343	949083	P02920	JW0334	lactose / melibiose:H<sup>+</sup> symporter LacY	54
lacZ	b0344	945006	P00722	JW0335	&beta;-galactosidase monomer	54
lamB	b4036	948548	P02943	JW3996,malB	LamB	42
lapA	b1279		P0ACV4	JW1271,yciS	lipopolysaccharide assembly protein LapA	Basal machinery
lapB	b1280		P0AB58	JW1272,yciM	lipopolysaccharide assembly protein LapB	Basal machinery
ldhA	b1380	946315	P52643	hslI,htpH,JW1375	D-lactate dehydrogenase - fermentative	Basal machinery
leuA	b0074	947465	P09151	JW0073	2-isopropylmalate synthase	Basal machinery
leuB	b0073	944798	P30125	JW5807	LeuB	Basal machinery
leuC	b0072	945076	P0A6A6	JW0071	LeuC	Basal machinery
leuD	b0071	945642	P30126	JW0070	LeuD	Basal machinery
leuL	b0075	946072	P0AD79	JW0074,leuLP	leu operon leader peptide	Basal machinery
leuO	b0076	949034	P10151	JW0075	LeuO DNA-binding transcriptional dual regulator	8.1
lexA	b4043	948544	P0A7C2	spr,exrA,JW4003,tsl,umuA	LexA	36
lgoR	b4357		P39399	yjjM,JW5792	predicted DNA-binding transcriptional regulator	73
lgt	b2828	947303	P60955	JW2796,umpA	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase	Basal machinery
lhgO	b2660	948069	P37339	ygaF,JW2635	L-2-hydroxyglutarate oxidase	Basal machinery
lhr	b1653	946156	P30015	rhlF,JW1645	member of  ATP-dependent helicase superfamily II	Basal machinery
ligA	b2411	946885	P15042	pdeC,dnaL,lig,JW2403,lop	DNA ligase	Basal machinery
lipB	b0630	945217	P60720	JW5089	lipoyl(octanoyl) transferase	Basal machinery
livF	b3454	947961	P22731	JW3419	branched chain amino acid ABC transporter - ATP binding subunit	Basal machinery
livG	b3455	947967	P0A9S7	JW3420	branched chain amino acid transporter - ATP binding subunit	Basal machinery
livH	b3457	947965	P0AEX7	JW3422	branched chain amino acid transporter - membrane subunit	Basal machinery
